pageid,title,wikidata,label
31712943,Robin Yearwood,Q7352892,Robin Yearwood
32341019,Molwyn Joseph,Q16730448,Molwyn Joseph
35952417,Steadroy Benjamin,Q7605192,Steadroy Benjamin
43045866,Gaston Browne,Q17177542,Gaston Browne
43586519,Rodney Williams (governor-general),Q17566330,Rodney Williams
47615855,Charles Fernandez,Q20171771,Charles Fernandez
56554702,Alincia Williams-Grant,Q48417293,Alincia Williams-Grant
65628235,Maria Bird-Browne,Q100606338,Maria Bird-Browne
66269770,Daryll Mathew,Q104634506,Daryll Mathew
66269933,Paul Chet Greene,Q20172097,Paul Chet Greene
66270097,Samantha Marshall,Q20192069,Samantha Marshall
66271183,Gerald Watt,Q104642679,Gerald Watt
